DEPTH,AC,CAL,CNL,DEN,DEN_QYZ,DEN_QYZ_S,GR,GR_QYZ,GR_QYZ_S,ILD,ILM,LL8,RLLD,RLLD_QYZ,RLLD_QYZ_S,RLLS,RPL,SP,SP_S,LAYER,FACIES
1079.9,103.864,10.256,26.072,1.92,1.92,2.354,84.007,84.007,100.156,3.614,2.909,4.113,3.004,3.004,2.771,3.05,24.707,74.947,81.376,P1011,J
1079.95,102.703,10.212,25.791,1.924,1.924,2.359,82.976,82.976,99.459,3.779,3.019,4.169,3.233,3.233,2.91,3.105,24.262,74.965,81.396,P1011,J
1080.0,101.472,10.172,25.577,1.927,1.927,2.362,81.945,81.945,98.763,3.944,3.192,4.545,3.462,3.462,3.049,3.339,24.262,74.983,81.415,P1011,J
1080.05,100.241,10.088,25.389,1.929,1.929,2.365,80.744,80.744,97.952,4.109,3.192,4.92,3.744,3.744,3.22,3.339,24.262,74.679,81.087,P1011,J
1080.1,99.229,9.971,25.171,1.933,1.933,2.369,79.543,79.543,97.141,4.274,3.313,5.105,4.027,4.027,3.391,3.59,24.262,74.376,80.758,P1011,J
1080.15,98.447,9.844,24.956,1.939,1.939,2.376,79.213,79.213,96.918,4.439,3.502,5.2,4.385,4.385,3.608,3.791,23.391,74.14,80.503,P1011,J
1080.2,97.485,9.708,24.813,1.944,1.944,2.382,79.756,79.756,97.285,4.604,3.703,5.2,4.82,4.82,3.871,4.076,23.391,73.973,80.322,P1011,J
1080.25,96.04,9.567,24.741,1.946,1.946,2.384,80.298,80.298,97.651,4.769,3.772,5.297,5.254,5.254,4.134,4.151,22.967,73.806,80.141,P1011,J
1080.3,94.434,9.45,24.679,1.947,1.947,2.385,80.992,80.992,98.119,4.934,4.063,5.395,5.82,5.82,4.477,4.544,24.705,73.307,79.6,P1011,J
1080.35,93.305,9.383,24.589,1.946,1.946,2.384,81.686,81.686,98.588,5.099,4.296,5.497,6.385,6.385,4.82,4.976,26.587,72.808,79.06,P1011,J
1080.4,92.769,9.35,24.471,1.941,1.941,2.378,82.192,82.192,98.93,5.264,4.459,6.481,6.958,6.958,5.167,5.35,30.209,72.348,78.562,P1011,J
1080.45,92.341,9.319,24.302,1.937,1.937,2.374,82.511,82.511,99.145,5.368,4.627,7.204,7.538,7.538,5.518,5.752,37.642,71.927,78.107,P1011,J
1080.5,91.707,9.284,24.049,1.938,1.938,2.375,82.83,82.83,99.361,5.571,4.984,7.923,8.118,8.118,5.87,5.965,49.484,71.507,77.651,P1011,J
1080.55,91.055,9.271,23.72,1.942,1.942,2.379,82.924,82.924,99.424,5.676,5.173,8.641,8.524,8.524,6.116,6.77,59.385,71.214,77.334,P1011,J
1080.6,90.671,9.278,23.375,1.946,1.946,2.384,83.017,83.017,99.487,5.782,5.469,9.364,8.931,8.931,6.362,7.414,70.029,70.921,77.017,P1011,J
1080.65,90.52,9.255,23.04,1.954,1.954,2.393,83.052,83.052,99.511,5.891,5.676,9.908,9.254,9.254,6.558,7.972,75.329,70.672,76.748,P1011,J
1080.7,90.377,9.16,22.668,1.973,1.973,2.415,83.028,83.028,99.494,6.114,5.891,10.021,9.493,9.493,6.703,8.572,75.307,70.469,76.528,P1011,J
1080.75,90.175,9.019,22.217,2.0,2.0,2.445,83.004,83.004,99.478,6.228,5.891,10.093,9.732,9.732,6.848,8.729,62.749,70.266,76.308,P1011,J
1080.8,90.024,8.897,21.792,2.019,2.019,2.467,83.225,83.225,99.628,6.228,5.782,10.28,9.693,9.693,6.824,8.888,48.612,70.642,76.715,P1011,J
1080.85,89.996,8.826,21.633,2.016,2.016,2.464,83.446,83.446,99.777,6.114,5.782,9.336,9.654,9.654,6.801,9.051,45.992,71.019,77.123,P1011,J
1080.9,90.025,8.773,21.87,1.993,1.993,2.437,83.961,83.961,100.125,5.849,5.368,8.538,9.404,9.404,6.649,9.217,43.542,71.353,77.485,P1011,J
1080.95,90.111,8.701,22.345,1.966,1.966,2.407,84.768,84.768,100.67,5.637,5.077,7.738,8.943,8.943,6.37,8.778,36.26,71.644,77.8,P1011,J
1081.0,90.472,8.625,22.797,1.944,1.944,2.382,85.576,85.576,101.216,5.425,4.892,6.942,8.482,8.482,6.09,8.423,32.502,71.936,78.116,P1011,J
1081.05,91.243,8.589,23.159,1.93,1.93,2.366,86.465,86.465,101.817,5.214,4.714,6.146,8.042,8.042,5.824,8.068,30.215,72.432,78.653,P1011,J
1081.1,92.172,8.602,23.563,1.923,1.923,2.358,87.354,87.354,102.418,5.002,4.459,5.395,7.603,7.603,5.557,7.713,29.124,72.927,79.189,P1011,J
1081.15,93.024,8.639,24.068,1.919,1.919,2.353,88.273,88.273,103.038,4.79,4.459,5.395,7.163,7.163,5.291,7.358,28.081,73.311,79.605,P1011,J
1081.2,94.109,8.674,24.577,1.916,1.916,2.35,89.222,89.222,103.679,4.578,4.296,5.495,6.724,6.724,5.025,7.003,31.927,73.583,79.899,P1011,J
1081.25,95.842,8.701,25.035,1.915,1.915,2.349,90.17,90.17,104.319,4.366,4.139,5.495,6.284,6.284,4.759,6.648,39.018,73.855,80.194,P1011,J
1081.3,98.066,8.724,25.544,1.917,1.917,2.351,90.824,90.824,104.761,4.155,3.915,5.495,5.844,5.844,4.493,6.292,38.314,73.987,80.337,P1011,J
